==3287== NVPROF is profiling process 3287, command: python index.py
==3287== Profiling application: python index.py
==3287== Profiling result:
   Start  Duration  Name
4.99154s  6.6310us  cudaStreamSynchronize
4.99158s  5.4070us  cudaMemcpyAsync
4.99158s  6.2430us  cudaStreamSynchronize
4.99161s  4.9190us  cudaMemcpyAsync
4.99161s  6.7980us  cudaStreamSynchronize
4.99164s  5.0620us  cudaMemcpyAsync
4.99165s  6.1200us  cudaStreamSynchronize
4.99168s  4.6460us  cudaMemcpyAsync
4.99169s  6.2680us  cudaStreamSynchronize
4.99173s  1.0147ms  cudaMemcpyAsync
4.99274s  69.671us  cudaStreamSynchronize
4.99289s  10.756us  cudaMemcpyAsync
4.99290s  6.8970us  cudaStreamSynchronize
4.99293s  14.708us  cudaMemcpyAsync
4.99294s  5.8900us  cudaStreamSynchronize
4.99298s  5.6110us  cudaMemcpyAsync
4.99299s  6.2190us  cudaStreamSynchronize
4.99301s  4.9690us  cudaMemcpyAsync
4.99302s  6.0940us  cudaStreamSynchronize
4.99305s  11.517us  cudaMemcpyAsync
4.99306s  5.8970us  cudaStreamSynchronize
4.99310s  476.27us  cudaMemcpyAsync
4.99358s  35.826us  cudaStreamSynchronize
4.99370s  12.231us  cudaMemcpyAsync
4.99371s  5.3920us  cudaStreamSynchronize
4.99376s  13.277us  cudaMemcpyAsync
4.99377s  6.1150us  cudaStreamSynchronize
4.99381s  6.0380us  cudaMemcpyAsync
4.99381s  6.6990us  cudaStreamSynchronize
4.99383s  4.6790us  cudaMemcpyAsync
4.99384s  6.2140us  cudaStreamSynchronize
4.99385s  4.0060us  cudaMemcpyAsync
4.99386s  6.0700us  cudaStreamSynchronize
4.99393s  578.96us  cudaMemcpyAsync
4.99451s  32.754us  cudaStreamSynchronize
4.99466s  13.033us  cudaMemcpyAsync
4.99467s  9.0300us  cudaStreamSynchronize
4.99473s  6.1500us  cudaMemcpyAsync
4.99474s  6.1410us  cudaStreamSynchronize
4.99477s  13.273us  cudaMemcpyAsync
4.99478s  5.9500us  cudaStreamSynchronize
4.99483s  5.1850us  cudaMemcpyAsync
4.99484s  6.2150us  cudaStreamSynchronize
4.99486s  4.5690us  cudaMemcpyAsync
4.99487s  6.0420us  cudaStreamSynchronize
4.99491s  167.77us  cudaMalloc
4.99509s  1.0320ms  cudaMemcpyAsync
4.99612s  70.756us  cudaStreamSynchronize
4.99627s  12.384us  cudaMemcpyAsync
4.99628s  6.8770us  cudaStreamSynchronize
4.99633s  6.3930us  cudaMemcpyAsync
4.99634s  6.1750us  cudaStreamSynchronize
4.99637s  4.7200us  cudaMemcpyAsync
4.99637s  6.4200us  cudaStreamSynchronize
4.99639s  6.3700us  cudaMemcpyAsync
4.99640s  6.1440us  cudaStreamSynchronize
4.99641s  4.2020us  cudaMemcpyAsync
4.99642s  6.0760us  cudaStreamSynchronize
4.99645s  467.94us  cudaMemcpyAsync
4.99692s  36.873us  cudaStreamSynchronize
4.99701s  18.197us  cudaMemcpyAsync
4.99703s  7.0440us  cudaStreamSynchronize
4.99707s  6.4110us  cudaMemcpyAsync
4.99708s  6.3270us  cudaStreamSynchronize
4.99712s  5.8810us  cudaMemcpyAsync
4.99712s  6.4240us  cudaStreamSynchronize
4.99716s  5.4120us  cudaMemcpyAsync
4.99716s  6.5520us  cudaStreamSynchronize
4.99718s  4.2450us  cudaMemcpyAsync
4.99719s  6.0570us  cudaStreamSynchronize
4.99732s  914.58us  cudaMemcpyAsync
4.99824s  62.156us  cudaStreamSynchronize
4.99837s  11.481us  cudaMemcpyAsync
4.99838s  6.6590us  cudaStreamSynchronize
4.99844s  8.1950us  cudaMemcpyAsync
4.99845s  6.2610us  cudaStreamSynchronize
4.99850s  6.3110us  cudaMemcpyAsync
4.99851s  6.3450us  cudaStreamSynchronize
4.99855s  5.0740us  cudaMemcpyAsync
4.99855s  6.1530us  cudaStreamSynchronize
4.99858s  4.5530us  cudaMemcpyAsync
4.99858s  6.0040us  cudaStreamSynchronize
4.99862s  318.48us  cudaMalloc
4.99896s  4.0434ms  cudaMemcpyAsync
5.00300s  32.481us  cudaStreamSynchronize
5.00321s  15.657us  cudaMemcpyAsync
5.00323s  7.7410us  cudaStreamSynchronize
5.00327s  5.8540us  cudaMemcpyAsync
5.00328s  6.4530us  cudaStreamSynchronize
5.00331s  13.159us  cudaMemcpyAsync
5.00333s  5.9800us  cudaStreamSynchronize
5.00335s  4.5300us  cudaMemcpyAsync
5.00335s  6.1060us  cudaStreamSynchronize
5.00338s  6.3640us  cudaMemcpyAsync
5.00339s  6.3290us  cudaStreamSynchronize
5.00343s  187.32us  cudaMalloc
5.00364s  1.7931ms  cudaMemcpyAsync
5.00543s  115.73us  cudaStreamSynchronize
5.00563s  23.086us  cudaMemcpyAsync
5.00565s  6.7470us  cudaStreamSynchronize
5.00570s  13.583us  cudaMemcpyAsync
5.00571s  6.6030us  cudaStreamSynchronize
5.00576s  12.679us  cudaMemcpyAsync
5.00577s  6.4090us  cudaStreamSynchronize
5.00579s  12.345us  cudaMemcpyAsync
5.00581s  6.4650us  cudaStreamSynchronize
5.00583s  4.6560us  cudaMemcpyAsync
5.00584s  6.2800us  cudaStreamSynchronize
5.00589s  3.5008ms  cudaMemcpyAsync
5.00940s  114.95us  cudaStreamSynchronize
5.00967s  23.360us  cudaMemcpyAsync
5.00969s  7.6010us  cudaStreamSynchronize
5.00973s  15.928us  cudaMemcpyAsync
5.00974s  4.8280us  cudaStreamSynchronize
5.00977s  14.510us  cudaMemcpyAsync
5.00978s  6.3310us  cudaStreamSynchronize
5.00981s  5.4460us  cudaMemcpyAsync
5.00981s  6.7650us  cudaStreamSynchronize
5.00983s  3.9760us  cudaMemcpyAsync
5.00984s  6.0460us  cudaStreamSynchronize
5.00990s  1.6105ms  cudaMemcpyAsync
5.01151s  117.85us  cudaStreamSynchronize
5.01169s  11.229us  cudaMemcpyAsync
5.01170s  7.0980us  cudaStreamSynchronize
5.01174s  5.5270us  cudaMemcpyAsync
5.01175s  8.1600us  cudaStreamSynchronize
5.01178s  13.201us  cudaMemcpyAsync
