==3287== NVPROF is profiling process 3287, command: python index.py
==3287== Profiling application: python index.py
==3287== Profiling result:
   Start  Duration  Name
4.96430s  5.8670us  cudaStreamSynchronize
4.96430s     430ns  cudaSetDevice
4.96432s     533ns  cudaGetDevice
4.96432s     261ns  cudaGetDevice
4.96432s     252ns  cudaGetDevice
4.96432s     263ns  cudaGetDevice
4.96432s     257ns  cudaGetDevice
4.96432s     246ns  cudaGetDevice
4.96432s     249ns  cudaGetDevice
4.96432s     392ns  cudaSetDevice
4.96432s     276ns  cudaSetDevice
4.96433s     406ns  cudaGetDevice
4.96433s     243ns  cudaGetDevice
4.96433s  5.2350us  cudaMemcpyAsync
4.96434s  6.0620us  cudaStreamSynchronize
4.96435s     412ns  cudaSetDevice
4.96437s     525ns  cudaGetDevice
4.96437s     260ns  cudaGetDevice
4.96437s     255ns  cudaGetDevice
4.96437s     266ns  cudaGetDevice
4.96437s     253ns  cudaGetDevice
4.96437s     253ns  cudaGetDevice
4.96437s     249ns  cudaGetDevice
4.96437s     439ns  cudaSetDevice
4.96437s     271ns  cudaSetDevice
4.96438s     395ns  cudaGetDevice
4.96438s     245ns  cudaGetDevice
4.96438s  11.747us  cudaMemcpyAsync
4.96440s  5.8620us  cudaStreamSynchronize
4.96440s     407ns  cudaSetDevice
4.96445s     568ns  cudaGetDevice
4.96445s     265ns  cudaGetDevice
4.96445s     253ns  cudaGetDevice
4.96445s     263ns  cudaGetDevice
4.96445s     251ns  cudaGetDevice
4.96445s     251ns  cudaGetDevice
4.96445s     248ns  cudaGetDevice
4.96446s     517ns  cudaSetDevice
4.96446s     277ns  cudaSetDevice
4.96446s     299ns  cudaGetDevice
4.96446s     247ns  cudaGetDevice
4.96446s  132.74us  cudaMemcpyAsync
4.96459s  16.620us  cudaStreamSynchronize
4.96461s     597ns  cudaSetDevice
4.96465s     823ns  cudaGetDevice
4.96466s     267ns  cudaGetDevice
4.96466s     269ns  cudaGetDevice
4.96466s     270ns  cudaGetDevice
4.96466s     254ns  cudaGetDevice
4.96466s     252ns  cudaGetDevice
4.96466s     257ns  cudaGetDevice
4.96466s     538ns  cudaSetDevice
4.96466s     276ns  cudaSetDevice
4.96467s     408ns  cudaGetDevice
4.96467s     249ns  cudaGetDevice
4.96467s  7.6450us  cudaMemcpyAsync
4.96468s  6.4590us  cudaStreamSynchronize
4.96469s     402ns  cudaSetDevice
4.96471s     559ns  cudaGetDevice
4.96471s     281ns  cudaGetDevice
4.96471s     252ns  cudaGetDevice
4.96471s     268ns  cudaGetDevice
4.96471s     254ns  cudaGetDevice
4.96471s     249ns  cudaGetDevice
4.96471s     249ns  cudaGetDevice
4.96471s     490ns  cudaSetDevice
4.96472s     276ns  cudaSetDevice
4.96473s     402ns  cudaGetDevice
4.96473s     248ns  cudaGetDevice
4.96473s  12.709us  cudaMemcpyAsync
4.96474s  5.9380us  cudaStreamSynchronize
4.96475s     409ns  cudaSetDevice
4.96476s     544ns  cudaGetDevice
4.96477s     273ns  cudaGetDevice
4.96477s     251ns  cudaGetDevice
4.96477s  2.1380us  cudaGetDevice
4.96477s     280ns  cudaGetDevice
4.96477s     248ns  cudaGetDevice
4.96477s     255ns  cudaGetDevice
4.96477s     465ns  cudaSetDevice
4.96477s     293ns  cudaSetDevice
4.96478s     406ns  cudaGetDevice
4.96478s     252ns  cudaGetDevice
4.96478s  7.6160us  cudaMemcpyAsync
4.96479s  6.3650us  cudaStreamSynchronize
4.96480s     408ns  cudaSetDevice
4.96481s     483ns  cudaGetDevice
4.96482s     357ns  cudaGetDevice
4.96482s     251ns  cudaGetDevice
4.96482s     261ns  cudaGetDevice
4.96482s     255ns  cudaGetDevice
4.96482s     254ns  cudaGetDevice
4.96482s     249ns  cudaGetDevice
4.96482s     439ns  cudaSetDevice
4.96482s     277ns  cudaSetDevice
4.96483s     404ns  cudaGetDevice
4.96483s     246ns  cudaGetDevice
4.96483s  4.9020us  cudaMemcpyAsync
4.96484s  6.3790us  cudaStreamSynchronize
4.96485s     405ns  cudaSetDevice
4.96485s     368ns  cudaGetDevice
4.96485s     253ns  cudaGetDevice
4.96485s     256ns  cudaGetDevice
4.96485s     260ns  cudaGetDevice
4.96485s     247ns  cudaGetDevice
4.96485s     252ns  cudaGetDevice
4.96485s     245ns  cudaGetDevice
4.96486s     380ns  cudaSetDevice
4.96486s     273ns  cudaSetDevice
